I1 = 8.2 μA
VSG =  0.825 V
Io(μA), VSD(V)
1.6, 0.008
3.6, 0.019
5.3, 0.028
7.0, 0.038
8.7, 0.049
10.1, 0.058
11.4, 0.067
12.9, 0.079
13.9, 0.088
15.0, 0.099
16.0, 0.108
16.8, 0.117
17.7, 0.129
18.4, 0.138
18.9, 0.147
21.2, 0.198
22.7, 0.298
23.2, 0.398
23.5, 0.498
23.8, 0.598
24.0, 0.699
24.2, 0.797
24.4, 0.897
24.6, 0.997
25.1, 1.299
25.5, 1.598
25.6, 1.698
25.7, 1.748
25.8, 1.787


