x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+7.500000E-06,+2.900401830673E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.502500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.505000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.296921990811E+00,+972.261346877E-03
+7.507500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.510000E-06,+3.101406857371E+00,+2.939660787583E+00,+2.995414450765E+00,+972.261346877E-03
+7.512500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.146168220787E+00,+972.261346877E-03
+7.515000E-06,+3.101406857371E+00,+3.040163300930E+00,+2.995414450765E+00,+972.261346877E-03
+7.517500E-06,+3.051155600698E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.520000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.522500E-06,+3.252160627393E+00,+2.939660787582E+00,+2.995414450765E+00,+972.261346877E-03
+7.525000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.095916964112E+00,+972.261346877E-03
+7.527500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.530000E-06,+3.101406857371E+00,+2.939660787582E+00,+2.995414450767E+00,+972.261346877E-03
+7.532500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+952.160844578E-03
+7.535000E-06,+3.101406857371E+00,+2.939660787582E+00,+2.995414450765E+00,+932.060342283E-03
+7.537500E-06,+3.302411884069E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.540000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.542500E-06,+3.302411884069E+00,+3.090414557603E+00,+2.995414450765E+00,+1.052663356066E+00
+7.545000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.095916964110E+00,+972.261346877E-03
+7.547500E-06,+2.950653087344E+00,+2.939660787582E+00,+3.146168220792E+00,+972.261346877E-03
+7.550000E-06,+3.302411884069E+00,+2.939660787586E+00,+2.995414450769E+00,+972.261346877E-03
+7.552500E-06,+3.101406857371E+00,+3.140665814281E+00,+3.196419477463E+00,+1.052663356066E+00
+7.555000E-06,+3.302411884069E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.557500E-06,+3.252160627399E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.560000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346875E-03
+7.562500E-06,+3.151658114051E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.565000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.095916964119E+00,+972.261346877E-03
+7.567500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.045665707434E+00,+972.261346877E-03
+7.570000E-06,+3.302411884064E+00,+2.939660787582E+00,+3.196419477457E+00,+972.261346877E-03
+7.572500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.575000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.577500E-06,+3.101406857371E+00,+2.788907017553E+00,+2.995414450765E+00,+972.261346877E-03
+7.580000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+891.859337690E-03
+7.582500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.585000E-06,+3.000904344029E+00,+3.140665814281E+00,+3.196419477463E+00,+972.261346877E-03
+7.587500E-06,+3.101406857371E+00,+2.989912044250E+00,+2.995414450765E+00,+972.261346877E-03
+7.590000E-06,+3.101406857371E+00,+2.939660787590E+00,+3.196419477463E+00,+972.261346877E-03
+7.592500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.146168220781E+00,+972.261346877E-03
+7.595000E-06,+3.101406857371E+00,+2.939660787582E+00,+2.995414450765E+00,+972.261346877E-03
+7.597500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+1.052663356066E+00
+7.600000E-06,+3.101406857371E+00,+2.939660787582E+00,+2.995414450765E+00,+972.261346877E-03
+7.602500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.605000E-06,+3.101406857371E+00,+2.939660787582E+00,+2.995414450765E+00,+972.261346877E-03
+7.607500E-06,+3.101406857371E+00,+2.939660787582E+00,+2.995414450765E+00,+972.261346877E-03
+7.610000E-06,+2.900401830682E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.612500E-06,+2.900401830673E+00,+2.939660787582E+00,+2.995414450765E+00,+972.261346877E-03
+7.615000E-06,+3.101406857371E+00,+3.040163300922E+00,+2.995414450765E+00,+972.261346877E-03
+7.617500E-06,+2.900401830673E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.620000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.622500E-06,+2.900401830673E+00,+2.889409530898E+00,+3.196419477463E+00,+1.052663356066E+00
+7.625000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.627500E-06,+3.252160627405E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.630000E-06,+3.101406857371E+00,+3.140665814281E+00,+2.995414450775E+00,+972.261346877E-03
+7.632500E-06,+3.101406857371E+00,+2.738655760884E+00,+3.045665707450E+00,+972.261346877E-03
+7.635000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.637500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.640000E-06,+3.101406857371E+00,+2.939660787582E+00,+2.995414450776E+00,+972.261346877E-03
+7.642500E-06,+3.101406857371E+00,+2.788907017570E+00,+3.196419477463E+00,+972.261346877E-03
+7.645000E-06,+3.101406857371E+00,+2.839158274222E+00,+2.995414450765E+00,+972.261346877E-03
+7.647500E-06,+3.101406857371E+00,+2.989912044245E+00,+3.045665707427E+00,+972.261346877E-03
+7.650000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+891.859337687E-03
+7.652500E-06,+3.302411884069E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.655000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.657500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.660000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.662500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+891.859337687E-03
+7.665000E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
+7.667500E-06,+3.101406857371E+00,+2.939660787582E+00,+3.196419477463E+00,+972.261346877E-03
