x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+8.150000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,+7.437236607E-03
+8.151750E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.153500E-06,+3.101406857371E+00,+958.756238222E-03,+9.987517027E-03,-72.964772582E-03
+8.155250E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.157000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.158750E-06,+3.101406857371E+00,+976.344177732E-03,+20.037768176E-03,+7.437236607E-03
+8.160500E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,+7.437236607E-03
+8.162250E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.164000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.165750E-06,+3.101406857371E+00,+1.016545182326E+00,+15.012642601E-03,-72.964772582E-03
+8.167500E-06,+2.900401830673E+00,+1.039158247411E+00,-42.776301503E-03,-72.964772582E-03
+8.169250E-06,+3.101406857371E+00,+958.756238222E-03,-45.288864291E-03,-72.964772582E-03
+8.171000E-06,+2.900401830673E+00,+1.039158247411E+00,-42.776301503E-03,-72.964772582E-03
+8.172750E-06,+3.101406857371E+00,+1.039158247411E+00,-42.776301503E-03,-72.964772582E-03
+8.174500E-06,+2.931808866098E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.176250E-06,+2.994622936934E+00,+1.001469805605E+00,-42.776301503E-03,-72.964772582E-03
+8.178000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.179750E-06,+3.101406857371E+00,+936.143173136E-03,-42.776301503E-03,-72.964772582E-03
+8.181500E-06,+2.969497308596E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.183250E-06,+2.900401830673E+00,+1.039158247411E+00,-42.776301503E-03,-72.964772582E-03
+8.185000E-06,+3.101406857371E+00,+958.756238222E-03,+37.625707686E-03,-25.226079628E-03
+8.186750E-06,+3.101406857371E+00,+958.756238222E-03,-105.590371184E-03,-72.964772582E-03
+8.188500E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.190250E-06,+3.101406857371E+00,+958.756238222E-03,+37.625707686E-03,-153.366781771E-03
+8.192000E-06,+2.900401830673E+00,+958.756238222E-03,-35.238613144E-03,-72.964772582E-03
+8.193750E-06,+2.956934494438E+00,+981.369303309E-03,-42.776301503E-03,-72.964772582E-03
+8.195500E-06,+2.969497308594E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.197250E-06,+2.900401830673E+00,+958.756238222E-03,+37.625707686E-03,-72.964772582E-03
+8.199000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.200750E-06,+3.101406857371E+00,+976.344177730E-03,-42.776301503E-03,-72.964772582E-03
+8.202500E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.204250E-06,+3.101406857371E+00,+958.756238222E-03,+37.625707686E-03,-153.366781771E-03
+8.206000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-65.427084224E-03
+8.207750E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-50.351707495E-03
+8.209500E-06,+3.101406857371E+00,+1.039158247411E+00,-42.776301503E-03,-45.326581926E-03
+8.211250E-06,+2.900401830673E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.213000E-06,+2.982060122778E+00,+991.419554459E-03,-90.514994456E-03,-72.964772582E-03
+8.214750E-06,+3.101406857371E+00,+1.039158247411E+00,-42.776301503E-03,-72.964772582E-03
+8.216500E-06,+3.101406857371E+00,+971.319052161E-03,+37.625707686E-03,-72.964772582E-03
+8.218250E-06,+3.101406857371E+00,+878.354229033E-03,-42.776301503E-03,-72.964772582E-03
+8.220000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.221750E-06,+3.101406857371E+00,+1.016545182323E+00,-42.776301503E-03,-72.964772582E-03
+8.223500E-06,+2.900401830673E+00,+986.394428877E-03,+9.987517031E-03,-72.964772582E-03
+8.225250E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.227000E-06,+3.019748565265E+00,+991.419554459E-03,-42.776301503E-03,-72.964772582E-03
+8.228750E-06,+3.101406857371E+00,+1.039158247411E+00,-42.776301503E-03,-72.964772582E-03
+8.230500E-06,+2.931808866105E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+8.232250E-06,+2.900401830673E+00,+1.001469805608E+00,-80.464743306E-03,-72.964772582E-03
+8.234000E-06,+3.101406857371E+00,+1.031620559054E+00,-42.776301503E-03,+7.437236607E-03
