x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-25.00000E-06,+1.09135659039E+00,+3.14066581428E+00,+3.19641947746E+00,+168.24125499E-03
-24.97500E-06,-114.67356980E-03,+2.73865576088E+00,+2.99541445076E+00,-253.86929326E-03
-24.95000E-06,-315.67859650E-03,+2.73865576088E+00,+3.19641947746E+00,+7.43723661E-03
-24.92500E-06,-315.67859650E-03,+2.93966078758E+00,+3.19641947746E+00,-93.06527488E-03
-24.90000E-06,+1.69437167049E+00,+2.73865576088E+00,+2.99541445076E+00,-233.76879096E-03
-24.87500E-06,+3.15165811405E+00,+3.14066581428E+00,+3.14616822079E+00,+47.63824120E-03
-24.85000E-06,+3.30241188407E+00,+3.04016330093E+00,+3.19641947746E+00,-32.76376799E-03
-24.82500E-06,+3.30241188407E+00,+2.88940953091E+00,+3.19641947746E+00,+7.43723661E-03
-24.80000E-06,+689.34653699E-03,+3.14066581428E+00,+3.39742450416E+00,+248.64326418E-03
-24.77500E-06,-114.67356980E-03,+2.73865576088E+00,+2.99541445076E+00,-253.86929326E-03
-24.75000E-06,-215.17608315E-03,+2.93966078758E+00,+3.09591696411E+00,-32.76376799E-03
-24.72500E-06,-315.67859650E-03,+2.88940953091E+00,+3.19641947746E+00,-12.66326569E-03
-24.70000E-06,+1.69437167049E+00,+2.93966078758E+00,+3.19641947746E+00,-233.76879096E-03
-24.67500E-06,+3.10140685737E+00,+3.14066581428E+00,+3.24667073414E+00,+87.83924580E-03
-24.65000E-06,+3.40291439742E+00,+3.14066581428E+00,+2.99541445076E+00,-72.96477258E-03
-24.62500E-06,+3.10140685737E+00,+2.93966078758E+00,+3.19641947746E+00,+7.43723661E-03
-24.60000E-06,+1.09135659038E+00,+2.93966078758E+00,+3.39742450416E+00,+168.24125499E-03
-24.57500E-06,-114.67356980E-03,+2.53765073419E+00,+2.99541445076E+00,-233.76879096E-03
-24.55000E-06,-114.67356980E-03,+2.73865576088E+00,+3.19641947746E+00,+7.43723661E-03
-24.52500E-06,-315.67859650E-03,+2.93966078758E+00,+3.14616822079E+00,-72.96477258E-03
-24.50000E-06,+1.89537669719E+00,+2.73865576088E+00,+2.79440942407E+00,-233.76879096E-03
-24.47500E-06,+3.25216062739E+00,+3.14066581428E+00,+3.34717324748E+00,+107.93974809E-03
