x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+8.500000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.502500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.505000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.507500E-06,+1.710251038894E+00,+1.671520099044E+00,+1.770791694522E+00,+987.778725103E-03
+8.510000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.512500E-06,+1.690150536597E+00,+1.691620601341E+00,+1.770791694522E+00,+927.477218211E-03
+8.515000E-06,+1.730351541191E+00,+1.711721103639E+00,+1.730590689928E+00,+927.477218211E-03
+8.517500E-06,+1.830854052678E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.520000E-06,+1.770552545786E+00,+1.751922108232E+00,+1.770791694521E+00,+1.007879227400E+00
+8.522500E-06,+1.690150536597E+00,+1.812223615124E+00,+1.710490187631E+00,+1.007879227400E+00
+8.525000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.527500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.530000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.532500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+987.778725102E-03
+8.535000E-06,+1.810753550379E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.537500E-06,+1.690150536597E+00,+1.691620601340E+00,+1.851193703711E+00,+1.007879227400E+00
+8.540000E-06,+1.770552545785E+00,+1.671520099045E+00,+1.690389685334E+00,+1.007879227399E+00
+8.542500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.545000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.547500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.550000E-06,+1.690150536597E+00,+1.751922108231E+00,+1.770791694522E+00,+1.007879227398E+00
+8.552500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.750691192223E+00,+947.577720510E-03
+8.555000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.557500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.560000E-06,+1.770552545786E+00,+1.751922108231E+00,+1.770791694522E+00,+927.477218211E-03
+8.562500E-06,+1.770552545786E+00,+1.691620601343E+00,+1.770791694522E+00,+927.477218211E-03
+8.565000E-06,+1.690150536597E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.567500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.570000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694524E+00,+1.007879227400E+00
+8.572500E-06,+1.690150536597E+00,+1.691620601343E+00,+1.770791694522E+00,+927.477218211E-03
+8.575000E-06,+1.770552545786E+00,+1.711721103636E+00,+1.770791694522E+00,+1.007879227400E+00
+8.577500E-06,+1.690150536597E+00,+1.691620601339E+00,+1.770791694522E+00,+987.778725105E-03
+8.580000E-06,+1.770552545786E+00,+1.671520099046E+00,+1.770791694522E+00,+1.007879227400E+00
+8.582500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.585000E-06,+1.690150536597E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.587500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.590000E-06,+1.690150536597E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.592500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.595000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.597500E-06,+1.710251038891E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.600000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.602500E-06,+1.770552545786E+00,+1.731821605932E+00,+1.831093201410E+00,+927.477218211E-03
+8.605000E-06,+1.730351541195E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.607500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.610000E-06,+1.770552545786E+00,+1.671520099047E+00,+1.770791694522E+00,+927.477218214E-03
+8.612500E-06,+1.710251038898E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.615000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.617500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.831093201418E+00,+927.477218211E-03
+8.620000E-06,+1.770552545786E+00,+1.751922108229E+00,+1.770791694526E+00,+1.007879227396E+00
+8.622500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.750691192221E+00,+927.477218211E-03
+8.625000E-06,+1.770552545786E+00,+1.711721103634E+00,+1.770791694522E+00,+1.007879227400E+00
+8.627500E-06,+1.710251038890E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.630000E-06,+1.770552545786E+00,+1.671520099048E+00,+1.770791694522E+00,+1.007879227400E+00
+8.632500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.635000E-06,+1.690150536597E+00,+1.711721103634E+00,+1.770791694522E+00,+927.477218211E-03
+8.637500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.640000E-06,+1.690150536597E+00,+1.751922108233E+00,+1.851193703711E+00,+927.477218211E-03
+8.642500E-06,+1.690150536597E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.645000E-06,+1.770552545786E+00,+1.711721103634E+00,+1.770791694522E+00,+1.007879227400E+00
+8.647500E-06,+1.770552545786E+00,+1.731821605940E+00,+1.770791694522E+00,+927.477218211E-03
+8.650000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.652500E-06,+1.750452043484E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.655000E-06,+1.770552545786E+00,+1.711721103643E+00,+1.770791694522E+00,+927.477218211E-03
+8.657500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.660000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.662500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.665000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.667500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.670000E-06,+1.690150536597E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.672500E-06,+1.690150536597E+00,+1.691620601347E+00,+1.790892196825E+00,+1.007879227400E+00
+8.675000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+967.678222800E-03
+8.677500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.680000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218216E-03
+8.682500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.685000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.687500E-06,+1.770552545786E+00,+1.691620601335E+00,+1.690389685333E+00,+947.577720502E-03
+8.690000E-06,+1.770552545786E+00,+1.751922108227E+00,+1.770791694522E+00,+1.007879227400E+00
+8.692500E-06,+1.770552545786E+00,+1.691620601347E+00,+1.770791694522E+00,+947.577720514E-03
+8.695000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.697500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.700000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.702500E-06,+1.690150536597E+00,+1.731821605929E+00,+1.770791694522E+00,+1.007879227400E+00
+8.705000E-06,+1.770552545786E+00,+1.711721103645E+00,+1.770791694522E+00,+927.477218211E-03
+8.707500E-06,+1.690150536597E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.710000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.712500E-06,+1.750452043482E+00,+1.671520099044E+00,+1.770791694522E+00,+947.577720515E-03
+8.715000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.717500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.851193703711E+00,+947.577720501E-03
+8.720000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.722500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.725000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.810992699109E+00,+927.477218211E-03
+8.727500E-06,+1.750452043496E+00,+1.751922108233E+00,+1.770791694522E+00,+987.778725110E-03
+8.730000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227392E+00
+8.732500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.851193703711E+00,+987.778725095E-03
+8.735000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.737500E-06,+1.690150536597E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.740000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694530E+00,+927.477218211E-03
+8.742500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.831093201406E+00,+1.007879227400E+00
+8.745000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.747500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.750000E-06,+1.690150536597E+00,+1.751922108233E+00,+1.770791694530E+00,+927.477218211E-03
+8.752500E-06,+1.770552545786E+00,+1.731821605928E+00,+1.770791694522E+00,+1.007879227400E+00
+8.755000E-06,+1.730351541183E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.757500E-06,+1.770552545786E+00,+1.731821605944E+00,+1.831093201422E+00,+1.007879227400E+00
+8.760000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.762500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.831093201405E+00,+987.778725094E-03
+8.765000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.767500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.770000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.772500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.831093201405E+00,+1.007879227400E+00
+8.775000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+967.678222814E-03
+8.777500E-06,+1.770552545786E+00,+1.731821605945E+00,+1.770791694522E+00,+927.477218211E-03
+8.780000E-06,+1.770552545786E+00,+1.671520099053E+00,+1.770791694531E+00,+1.007879227391E+00
+8.782500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.785000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.787500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+987.778725112E-03
+8.790000E-06,+1.770552545786E+00,+1.751922108224E+00,+1.770791694522E+00,+1.007879227400E+00
+8.792500E-06,+1.770552545786E+00,+1.731821605926E+00,+1.770791694522E+00,+987.778725093E-03
+8.795000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.797500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.800000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.851193703711E+00,+1.007879227390E+00
+8.802500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.805000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.807500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+947.577720498E-03
+8.810000E-06,+1.690150536597E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218221E-03
+8.812500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.815000E-06,+1.730351541181E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.817500E-06,+1.710251038884E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.820000E-06,+1.770552545776E+00,+1.751922108223E+00,+1.770791694522E+00,+1.007879227390E+00
+8.822500E-06,+1.710251038904E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.825000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.827500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.830000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.832500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.790892196830E+00,+1.007879227400E+00
+8.835000E-06,+1.690150536597E+00,+1.751922108233E+00,+1.730590689938E+00,+927.477218211E-03
+8.837500E-06,+1.770552545786E+00,+1.731821605947E+00,+1.770791694522E+00,+1.007879227400E+00
+8.840000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.851193703700E+00,+927.477218222E-03
+8.842500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.710490187641E+00,+947.577720519E-03
+8.845000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.847500E-06,+1.710251038883E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.850000E-06,+1.690150536597E+00,+1.751922108222E+00,+1.770791694522E+00,+1.007879227400E+00
+8.852500E-06,+1.710251038905E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.855000E-06,+1.810753550369E+00,+1.751922108233E+00,+1.770791694522E+00,+967.678222817E-03
+8.857500E-06,+1.770552545786E+00,+1.691620601330E+00,+1.790892196808E+00,+947.577720496E-03
+8.860000E-06,+1.690150536597E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.862500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.865000E-06,+1.730351541180E+00,+1.711721103627E+00,+1.770791694522E+00,+927.477218211E-03
+8.867500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.870000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.851193703699E+00,+1.007879227400E+00
+8.872500E-06,+1.770552545786E+00,+1.691620601353E+00,+1.770791694522E+00,+947.577720520E-03
+8.875000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.877500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.880000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+927.477218211E-03
+8.882500E-06,+1.750452043476E+00,+1.671520099044E+00,+1.790892196831E+00,+927.477218211E-03
+8.885000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.887500E-06,+1.770552545786E+00,+1.691620601329E+00,+1.770791694522E+00,+927.477218211E-03
+8.890000E-06,+1.690150536597E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.892500E-06,+1.750452043476E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.895000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+967.678222793E-03
+8.897500E-06,+1.750452043501E+00,+1.671520099044E+00,+1.790892196806E+00,+927.477218211E-03
+8.900000E-06,+1.770552545786E+00,+1.751922108220E+00,+1.770791694522E+00,+927.477218211E-03
+8.902500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.831093201401E+00,+927.477218211E-03
+8.905000E-06,+1.770552545786E+00,+1.711721103625E+00,+1.770791694522E+00,+967.678222818E-03
+8.907500E-06,+1.690150536597E+00,+1.751922108233E+00,+1.770791694522E+00,+947.577720495E-03
+8.910000E-06,+1.770552545786E+00,+1.671520099057E+00,+1.770791694535E+00,+927.477218211E-03
+8.912500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.851193703711E+00,+947.577720521E-03
+8.915000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.917500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.690389685333E+00,+1.007879227400E+00
+8.920000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.690389685346E+00,+1.007879227400E+00
+8.922500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.925000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.927500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+1.007879227400E+00
+8.930000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.690389685347E+00,+927.477218225E-03
+8.932500E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.007879227400E+00
+8.935000E-06,+1.770552545786E+00,+1.711721103624E+00,+1.810992699130E+00,+927.477218211E-03
+8.937500E-06,+1.690150536597E+00,+1.731821605950E+00,+1.770791694522E+00,+1.007879227400E+00
+8.940000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
+8.942500E-06,+1.770552545786E+00,+1.671520099044E+00,+1.831093201400E+00,+927.477218211E-03
+8.945000E-06,+1.770552545786E+00,+1.711721103624E+00,+1.730590689942E+00,+1.007879227400E+00
+8.947500E-06,+1.770552545786E+00,+1.731821605950E+00,+1.770791694522E+00,+927.477218211E-03
+8.950000E-06,+1.690150536597E+00,+1.671520099044E+00,+1.609987676158E+00,+1.007879227385E+00
+8.952500E-06,+1.609748527408E+00,+1.591118089855E+00,+1.750691192210E+00,+1.007879227400E+00
+8.955000E-06,+1.690150536597E+00,+1.631319094435E+00,+1.730590689942E+00,+927.477218211E-03
+8.957500E-06,+1.770552545786E+00,+1.731821605950E+00,+1.851193703711E+00,+867.175711304E-03
+8.960000E-06,+1.931356564149E+00,+1.832324117422E+00,+1.931595712900E+00,+927.477218225E-03
+8.962500E-06,+1.850954554975E+00,+1.832324117422E+00,+1.851193703711E+00,+1.068180734277E+00
+8.965000E-06,+1.770552545786E+00,+1.751922108233E+00,+1.770791694522E+00,+1.088281236589E+00
+8.967500E-06,+1.710251038879E+00,+1.691620601326E+00,+1.690389685333E+00,+1.007879227400E+00
+8.970000E-06,+1.690150536597E+00,+1.591118089855E+00,+1.770791694522E+00,+1.007879227400E+00
+8.972500E-06,+1.690150536597E+00,+1.671520099044E+00,+1.851193703711E+00,+927.477218211E-03
+8.975000E-06,+1.770552545786E+00,+1.671520099044E+00,+1.770791694522E+00,+927.477218211E-03
